НЕПОЛУЧЕННЫХ БАТЧЕЙ: 0

ИТОГО В WB: 1683 шт   |   ДОСТУПНО У НАС: 1843 шт

=== 1. WB ПРОДАЁТ, А У НАС НЕТ — 18 позиций, 606 шт ===
    (именно отсюда берутся заказы, которые нечем собрать)
     225  P116-1_слип                 размеры 36:63, 40:51, 39:49, 37:39, 42:15, 38:8
     112  V286-20                     размеры 40:55, 39:35, 38:22
     109  2001-9_белый                размеры 39:40, 40:35, 35:34
      99  V286-10_ коричневый         размеры 40:40, 39:38, 38:21
      61  V286-2                      размеры 39:35, 40:16, 38:10

=== 2. ЛЕЖИТ У НАС, А В WB НУЛЬ — 68 позиций, 453 шт ===
      92  6720-6A (6731-9А)
      52  6720-5A
      51  6720-6T (6731-9T)
      40  6021-3K
      40  6720-8T (6731-11Т)
      20  2097-3B
      18  6720-8A ( 6731-11A )
      16  6731-1A
      15  2095-5B
      10  2093-4D
      10  2739-2Н
      10  6021-5H
      10  2090-2D
      10  2090-3B
      10  2739-2A
      10  2739-2W
      10  2739-2R
       9  6020-1A
       5  2721-2H
       5  2096-3C
       5  2721-2P
       5  2094-3A

=== 3. ЕСТЬ И ТАМ И ТАМ — 223 позиций ===
артикул                     разм   в WB  у нас  разница
2739-2Н                       34      1     10       -9
2739-2A                       34      2     10       -8
2739-2Н                       35      2     10       -8
6021-5H                       29      3     10       -7
6020-1A                       28      4     10       -6
2739-2W                       35      4     10       -6
6020-1A                       29      5     10       -5
2721-4M                       29      5     10       -5
2739-2A                       35      5     10       -5
6021-3A                       29      6     10       -4
6020-1A                       27      1      5       -4
6021-5H                       28      6     10       -4
2721-2H                       28      6     10       -4
2092-1B                       36      1      5       -4
2093-3A                       32      1      5       -4
2739-2R                       33      1      5       -4
2096-3D                       37      1      5       -4
2091-3B                       36      1      5       -4
2093-4A                       36      1      5       -4
2096-3C                       37      1      5       -4
6021-5B                       29      5      9       -4
2721-2F                       28      6     10       -4
2090-3B                       35      2      5       -3
2097-3B                       32      2      5       -3
6020-5F                       26      2      5       -3
6021-4A                       30      2      5       -3
6021-5F                       28      7     10       -3
6021-5F                       31      2      5       -3
6020-2H                       29      7     10       -3
6021-5H                       30      2      5       -3
6020-2L                       31      2      5       -3
2096-3C                       34      2      5       -3
2096-3C                       35      2      5       -3
2090-3B                       33      2      5       -3
2097-4С                       34      2      5       -3
2721-4F                       30      2      5       -3
2721-4F                       28      7     10       -3
2721-2A                       30      2      5       -3
2721-2P                       29      7     10       -3
2721-2P                       27      2      5       -3
2739-2R                       35      7     10       -3
6021-5F                       30      2      5       -3
2093-4D                       32      2      5       -3
2093-4D                       35      2      5       -3
2096-3D                       34      2      5       -3
2095-5B                       32      2      5       -3
2095-5B                       33      2      5       -3
2093-3A                       36      2      5       -3
6021-1A                       28      8     11       -3
2721-2A                       28      7     10       -3
6020-2H                       31      3      5       -2
2096-3D                       32      3      5       -2
2721-4A                       27      3      5       -2
6021-3A                       28      7      9       -2
6020-4R                       31      3      5       -2
6020-2A                       26      3      5       -2
2096-3D                       35      3      5       -2
2096-3D                       33      3      5       -2
6020-2H                       26      3      5       -2
6021-2A                       31      3      5       -2
6021-5C                       28      8     10       -2
6021-5C                       29      8     10       -2
6021-5K                       31      3      5       -2
6020-5F                       27      3      5       -2
6021-5H                       31      3      5       -2
6020-2L                       28      8     10       -2
6021-5K                       26      3      5       -2
2094-3A                       34      3      5       -2
2090-2D                       35      3      5       -2
2094-3A                       35      3      5       -2
2090-3B                       32      3      5       -2
2721-4M                       28      8     10       -2
2739-2W                       32      3      5       -2
2097-4С                       35      3      5       -2
6021-1A                       29      8     10       -2
2721-2A                       29      8     10       -2
6021-5B                       28      8     10       -2
2097-4B                       32      3      5       -2
2721-2F                       31      3      5       -2
2739-2R                       32      3      5       -2
2739-2W                       33      3      5       -2
2739-2W                       34      8     10       -2
2739-2R                       34      8     10       -2
2097-4С                       36      2      4       -2
2097-4С                       32      3      5       -2
2097-4С                       33      3      5       -2
2721-4A                       26      3      5       -2
2721-2F                       27      3      5       -2
2721-2P                       28      8     10       -2
2739-2A                       33      3      5       -2
6021-5B                       27      4      5       -1
6021-3A                       27      4      5       -1
6021-3A                       30      4      5       -1
2721-4F                       27      4      5       -1
6020-2H                       27      4      5       -1
6021-5C                       27      4      5       -1
6021-5C                       26      4      5       -1
6021-5C                       30      4      5       -1
2721-2H                       29      9     10       -1
6020-2L                       30      4      5       -1
6021-5K                       28      9     10       -1
2094-3A                       33      4      5       -1
2096-3C                       33      4      5       -1
2090-3B                       34      4      5       -1
2721-4M                       30      4      5       -1
2739-2A                       32      4      5       -1
2721-4A                       29      9     10       -1
6021-1A                       30      4      5       -1
2093-4D                       34      4      5       -1
2097-4B                       35      4      5       -1
2097-4B                       34      4      5       -1
6021-3A                       26      4      5       -1
2721-2P                       31      4      5       -1
2721-2P                       30      4      5       -1
2721-2F                       26      4      5       -1
6021-2A                       28      9     10       -1
2091-3B                       32      4      5       -1
2091-3B                       35      4      5       -1
2091-3B                       34      4      5       -1
2093-4A                       32      4      5       -1
2093-3A                       34      4      5       -1
6020-1C                       31      4      5       -1
2090-2D                       37      4      5       -1
2093-4A                       35      4      5       -1
